State,HighQ,HighQN,date
Alabama,339.1,1042,2014-01-01
Alaska,288.8,252,2014-01-01
Arizona,303.3,1941,2014-01-01
Arkansas,361.9,576,2014-01-01
California,248.8,12096,2014-01-01
Colorado,236.3,2161,2014-01-01
Connecticut,347.9,1294,2014-01-01
Delaware,373.2,347,2014-01-01
District of Columbia,352.3,433,2014-01-01
Florida,306.4,6506,2014-01-01
Georgia,332.2,3099,2014-01-01
Hawaii,311.0,328,2014-01-01
Idaho,276.1,315,2014-01-01
Illinois,359.7,4008,2014-01-01
Indiana,336.8,1665,2014-01-01
Iowa,371.7,697,2014-01-01
Kansas,353.5,838,2014-01-01
Kentucky,337.3,1013,2014-01-01
Louisiana,377.7,1071,2014-01-01
Maine,321.1,450,2014-01-01
