marketplace,product_category,product_title,star_rating,verified_purchase,helpful_votes
US,Mobile_Apps,Game of War - Fire Age,5.0,Y,1.0
US,Mobile_Apps,Another World,5.0,Y,0.0
US,Mobile_Apps,K-9 Mail,5.0,Y,0.0
US,Mobile_Apps,Crossy Road,5.0,Y,0.0
US,Mobile_Apps,"The Weather Channel: Forecast, Radar & Alerts",5.0,Y,0.0
US,Mobile_Apps,Jetpack Joyride,3.0,Y,0.0
US,Mobile_Apps,OfficeSuite Professional,4.0,Y,2.0
US,Mobile_Apps,Minecraft,5.0,Y,0.0
US,Mobile_Apps,"Avia Media Player (Chromecast, Roku, Apple TV, WebOS)",1.0,Y,3.0
US,Mobile_Apps,"The Cursed Ship, Collector’s Edition",3.0,Y,0.0
US,Digital_Music_Purchase,Need You Now,5.0,Y,0.0
US,Digital_Music_Purchase,Bloodstone & Diamonds,5.0,Y,0.0
US,Digital_Music_Purchase,Transit Of Venus,4.0,Y,1.0
US,Digital_Music_Purchase,The Twilight Saga: New Moon (Original Motion Picture Soundtrack),2.0,Y,4.0
US,Digital_Music_Purchase,Born Sinner [Explicit],5.0,Y,5.0
US,Digital_Music_Purchase,Mylo Xyloto,5.0,N,0.0
DE,Digital_Music_Purchase,I Dreamed A Dream,5.0,Y,0.0
US,Digital_Music_Purchase,Rhythm & Blues,3.0,Y,0.0
US,Digital_Music_Purchase,Elvis 30 #1 Hits,5.0,Y,0.0
FR,Digital_Music_Purchase,Push And Shove (Standard),3.0,Y,0.0
US,Toys,Monster High New Scaremester Jinafire Long Fashion Doll,5.0,Y,0.0
US,Toys,Schleich Tyrannosaurus Rex,5.0,Y,0.0
DE,Toys,Lego Friends 3930 - Stephanie's Backspaß im Garten,5.0,Y,0.0
DE,Toys,Lego Duplo Winnie the Pooh 5945 - Winnie Poohs Picknick,5.0,Y,0.0
US,Toys,McFarlane Toys The Walking Dead TV Deluxe Box Set (Daryl Dixon with Chopper),5.0,Y,0.0
UK,Toys,Elsa Musical Wand,5.0,Y,0.0
FR,Toys,Batman - W7219 - Figurine - Batpod Quick Tek,5.0,Y,2.0
US,Toys,LEGO Friends Heartlake Shopping Mall Building Set 41058,5.0,Y,4.0
US,Toys,"Bandai Monkey D. Luffy (New World Version) ""One Piece"" - Figuarts Zero",5.0,Y,2.0
UK,Toys,Intex Wetset Summer Colours Swim Centre 73 x 71 Inch Pool,4.0,Y,1.0
FR,PC,Kingston FCR-MRG2 Lecteur de carte MicroSD Gen 2 USB,5.0,Y,0.0
FR,PC,Intel Sandy Bridge E Processeur Core i7-3820 / 3.60 GHz 4 coeurs 10 Mo Cache Socket-LGA2011 Version Boîte,5.0,Y,0.0
US,PC,Moshi FireWire 800 to 400 Adapter (99MO023901),5.0,Y,0.0
US,PC,AMD A8-3870K APU with AMD Radeon 6550 HD Graphics 3.0GHz Unlocked Socket FM1 100W Quad-Core Processor - Retail - AD3870WNGXBOX,5.0,Y,0.0
US,PC,Coollaboratory Liquid Ultra Thermal Paste Compound Grease CPU Processor Heatsink,5.0,Y,1.0
US,PC,Griffin 3m USB to Lightning Cable (GC36633),1.0,Y,0.0
US,PC,Mobee Technology Magic Charger - Inductive Charger for Apple Magic Mouse (MO2212),4.0,Y,0.0
DE,PC,Amazon Kindle USB-Ersatzkabel für eReader,5.0,Y,0.0
US,PC,"Marware Axis Genuine Leather Rotating, Standing Case for Kindle Fire HD 7"" (only fits Kindle Fire HD 7"")",4.0,Y,0.0
UK,PC,Mobee The Magic Charger for The Apple Wireless Magic Mouse,4.0,Y,0.0
