marketplace,product_category,star_rating,review_date
UK,Mobile_Apps,3,2014-07-26
US,Digital_Music_Purchase,5,2014-03-21
UK,Mobile_Apps,4,2013-02-09
UK,PC,4,2015-01-05
UK,Mobile_Apps,4,2013-07-03
US,Toys,5,2014-11-07
JP,Mobile_Apps,4,2013-06-28
US,Mobile_Apps,5,2014-12-15
US,Mobile_Apps,5,2013-04-09
US,Mobile_Apps,5,2014-02-23
US,Digital_Music_Purchase,5,2013-06-24
UK,Mobile_Apps,5,2013-12-26
UK,Toys,5,2014-05-25
US,Mobile_Apps,5,2014-12-22
US,Musical Instruments,5,2015-06-08
US,Toys,5,2014-08-13
UK,Mobile_Apps,5,2015-03-07
US,Mobile_Apps,4,2015-05-29
US,Mobile_Apps,1,2014-07-22
UK,Mobile_Apps,5,2014-07-30
US,Mobile_Apps,5,2012-11-29
US,Mobile_Apps,5,2015-08-15
DE,Digital_Music_Purchase,5,2014-08-16
US,Mobile_Apps,5,2014-06-26
US,Mobile_Apps,5,2015-05-10
FR,Toys,2,2011-06-21
US,Mobile_Apps,4,2015-05-30
US,Mobile_Apps,4,2015-08-18
UK,Mobile_Apps,4,2014-12-17
US,Mobile_Apps,5,2015-04-19
US,Mobile_Apps,5,2012-12-17
US,PC,5,2015-08-22
US,PC,3,2009-11-07
US,Digital_Music_Purchase,3,2015-03-04
US,Mobile_Apps,1,2013-03-29
US,Mobile_Apps,5,2013-02-18
UK,Mobile_Apps,5,2013-07-28
UK,Mobile_Apps,1,2013-09-01
US,Digital_Music_Purchase,5,2010-05-06
US,Digital_Music_Purchase,5,2015-03-18
UK,Office Products,5,2013-01-05
US,Mobile_Apps,5,2013-03-29
US,Mobile_Apps,5,2013-07-16
US,Mobile_Apps,5,2014-02-15
US,Mobile_Apps,5,2015-07-09
UK,Mobile_Apps,5,2015-06-04
US,Mobile_Apps,4,2014-06-28
US,Mobile_Apps,5,2014-02-03
US,Mobile_Apps,5,2015-02-08
US,Mobile_Apps,5,2013-01-26
UK,Mobile_Apps,3,2015-05-05
US,Mobile_Apps,4,2015-05-30
US,Mobile_Apps,4,2015-04-29
US,Digital_Music_Purchase,5,2013-01-09
US,Mobile_Apps,4,2014-10-24
US,Mobile_Apps,5,2013-01-10
US,Toys,5,2014-03-01
US,Mobile_Apps,5,2013-11-24
US,Mobile_Apps,5,2015-06-20
US,Mobile_Apps,5,2012-05-03
UK,Mobile_Apps,4,2014-10-13
US,Mobile_Apps,4,2012-12-02
US,Mobile_Apps,4,2013-08-20
US,Mobile_Apps,5,2015-07-12
US,Office Products,5,2013-08-28
US,Mobile_Apps,1,2013-07-27
US,Mobile_Apps,4,2015-05-11
US,Mobile_Apps,3,2013-02-16
US,Mobile_Apps,4,2012-01-06
UK,Mobile_Apps,5,2015-08-28
DE,Toys,5,2015-06-17
US,Mobile_Apps,5,2014-11-05
US,Mobile_Apps,5,2015-03-08
US,Mobile_Apps,3,2013-01-11
US,Mobile_Apps,4,2012-04-23
UK,Mobile_Apps,1,2015-06-07
US,Mobile_Apps,5,2015-05-01
DE,Mobile_Apps,3,2013-01-29
US,Mobile_Apps,3,2012-07-08
UK,Mobile_Apps,5,2014-05-31
US,Mobile_Apps,5,2015-07-24
US,Mobile_Apps,4,2013-03-03
US,Mobile_Apps,5,2015-06-21
DE,Digital_Music_Purchase,5,2013-02-21
US,Toys,3,2012-01-23
US,Mobile_Apps,5,2014-08-05
US,Digital_Music_Purchase,5,2014-03-08
DE,PC,5,2013-02-02
US,Mobile_Apps,5,2014-01-15
US,Mobile_Apps,5,2014-01-27
DE,Digital_Music_Purchase,5,2014-11-07
US,Mobile_Apps,4,2013-12-10
UK,Mobile_Apps,5,2015-04-12
US,Mobile_Apps,5,2015-01-08
US,Mobile_Apps,5,2013-08-27
US,Mobile_Apps,5,2015-02-05
US,Mobile_Apps,4,2013-10-26
US,Mobile_Apps,5,2012-11-17
US,Mobile_Apps,4,2014-08-13
UK,Mobile_Apps,4,2014-04-03
