"year","month","Checking account","Credit card","Credit reporting","Other mortgage"
2011,12,0,1260,0,388
2012,1,0,1167,0,592
2012,2,0,1212,0,932
2012,3,918,1378,0,1513
2012,4,994,1173,0,1512
2012,5,1330,1468,0,2496
2012,6,1093,1699,0,2340
2012,7,995,1505,0,1676
2012,8,974,1281,0,2155
2012,9,868,994,0,1494
2012,10,943,1358,360,1603
2012,11,745,1086,782,1408
2012,12,731,1032,731,1605
2013,1,1017,1162,911,2755
2013,2,849,1142,1065,2258
2013,3,934,1280,1098,2531
2013,4,772,1216,1151,2238
2013,5,778,1072,1207,2126
2013,6,820,1022,1112,1977
2013,7,884,1274,1249,2036
2013,8,816,1434,1253,1691
2013,9,849,1561,1447,1274
2013,10,925,1462,1290,1218
2013,11,789,1518,1300,1070
2013,12,813,1551,1297,1049
2014,1,878,1920,2357,1242
2014,2,852,2002,2538,1489
2014,3,848,2125,2589,1482
2014,4,908,2058,2549,1454
2014,5,861,1749,2300,1217
2014,6,937,1783,2465,1185
2014,7,978,1882,2659,1307
2014,8,877,1921,2668,1286
2014,9,846,1810,2482,1134
2014,10,908,1704,2263,1342
2014,11,720,1641,2179,964
2014,12,790,1642,2190,969
2015,1,849,1789,2676,901
2015,2,707,2068,2382,957
2015,3,815,2141,2827,1125
2015,4,816,2049,2688,1117
2015,5,809,2083,2656,1180
2015,6,976,2136,2709,1315
2015,7,1016,2339,3687,1083
2015,8,1026,2147,3429,1362
2015,9,940,2229,2889,1198
2015,10,1150,2158,2809,1214
2015,11,978,1973,2842,1020
2015,12,944,2061,2678,852
2016,1,982,2144,2758,1117
2016,2,847,2157,3039,1038
2016,3,940,2266,4042,1360
2016,4,863,2234,3765,1155
2016,5,1080,2127,3825,1043
2016,6,1352,2195,3902,1092
2016,7,1224,2291,4396,999
2016,8,1306,2911,3946,1131
2016,9,1494,2782,3621,1078
2016,10,1306,2657,4333,1092
2016,11,1116,2284,3277,961
2016,12,1144,2370,3177,876
2017,1,1148,2514,3980,994
2017,2,1066,2486,4145,861
2017,3,1155,2920,4706,1006
2017,4,1009,1833,5677,500
2017,5,1009,0,6947,0
2017,6,1352,0,6778,0
2017,7,1260,0,8048,0
2017,8,1196,0,8602,0
2017,9,1165,0,15696,0
2017,10,1088,0,8546,0
2017,11,1174,0,7729,0
2017,12,1062,0,7540,0
2018,1,1273,0,9429,0
2018,2,1191,0,9502,0
2018,3,1304,0,9686,0
2018,4,1364,0,10156,0
2018,5,1338,0,9319,0
2018,6,1301,0,8318,0
2018,7,1373,0,8956,0
2018,8,1289,0,9285,0
2018,9,1263,0,8261,0
2018,10,1420,0,9672,0
2018,11,1318,0,8738,0
2018,12,1337,0,8244,0
2019,1,1307,0,8377,0
2019,2,1243,0,9218,0
2019,3,1372,0,10833,0
2019,4,1373,0,10857,0
2019,5,1414,0,11726,0
2019,6,1398,0,11567,0
2019,7,1432,0,12779,0
2019,8,1604,0,13301,0
2019,9,1376,0,11943,0
2019,10,1501,0,13133,0
2019,11,218,0,2965,0
